Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average p-value
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	0.69	0.68	0.49	0.53	0.93	0.43	0.38	0.86	0.63	0.39	0.11	0.87	0.5825
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1	0.25	0.31	0.84	0.31	0.42	0.65	0.79	0.46	0.85	0.99	0.59	0.53	0.5825
KEGG_LONG_TERM_DEPRESSION	0.40	0.36	0.31	0.56	0.92	0.32	0.81	0.19	0.40	0.87	0.88	0.98	0.583333333333
ST_T_CELL_SIGNAL_TRANSDUCTION	0.69	0.84	0.19	0.54	0.90	0.12	0.67	0.95	0.61	0.27	0.43	0.80	0.584166666667
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.26	0.47	0.68	0.20	0.74	0.20	1.00	0.16	0.74	0.91	0.72	0.96	0.586666666667
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_	0.69	0.95	0.25	0.46	0.75	0.99	0.77	0.90	0.75	0.20	0.32	0.01	0.586666666667
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	0.80	1.00	0.48	0.98	0.23	0.71	1.00	1.00	0.04	0.02	0.62	0.16	0.586666666667
REACTOME_CELL_JUNCTION_ORGANIZATION	0.81	0.43	0.25	0.45	0.87	0.13	0.99	0.24	0.16	0.84	0.89	0.99	0.5875
REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1	0.32	0.97	0.45	0.48	0.94	0.77	0.46	0.94	0.90	0.00	0.28	0.54	0.5875
KEGG_PROTEASOME	0.62	0.92	0.29	1.00	0.87	0.96	0.67	1.00	0.31	0.03	0.34	0.05	0.588333333333
ST_ERK1_ERK2_MAPK_PATHWAY	0.75	0.58	0.04	0.58	1.00	0.83	0.67	0.50	0.97	0.25	0.57	0.32	0.588333333333
BIOCARTA_CARM_ER_PATHWAY	0.12	0.85	0.00	1.00	0.92	0.73	0.67	0.88	0.34	0.14	0.95	0.46	0.588333333333
BIOCARTA_IL7_PATHWAY	0.60	0.43	0.69	0.42	0.97	0.51	0.21	0.68	0.25	0.62	0.73	0.96	0.589166666667
PID_NOTCH_PATHWAY	0.80	0.59	0.84	0.33	0.23	0.15	0.81	0.66	0.62	0.70	0.42	0.92	0.589166666667
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	0.78	0.31	0.10	0.64	0.86	0.04	1.00	0.17	0.99	0.70	0.76	0.72	0.589166666667
KEGG_PHENYLALANINE_METABOLISM	0.86	0.65	0.28	0.83	0.93	0.76	0.21	0.05	0.75	0.53	0.28	0.96	0.590833333333
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.80	0.72	0.00	0.23	0.52	0.39	1.00	0.27	0.94	0.56	0.90	0.76	0.590833333333
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.90	0.87	0.35	0.66	0.82	0.83	0.97	0.75	0.56	0.28	0.01	0.10	0.591666666667
REACTOME_SIGNALING_BY_PDGF	0.47	0.39	0.47	0.15	0.78	0.71	0.93	0.44	0.69	0.64	0.57	0.86	0.591666666667
REACTOME_PEPTIDE_CHAIN_ELONGATION	0.66	1.00	0.65	0.87	0.00	1.00	1.00	1.00	0.00	0.00	0.91	0.02	0.5925
PID_FAK_PATHWAY	0.43	0.74	0.53	0.13	0.61	0.30	0.81	0.64	0.91	0.90	0.25	0.86	0.5925
PID_FOXM1PATHWAY	0.25	0.55	0.78	0.97	0.99	0.67	0.67	0.54	0.38	0.12	0.40	0.80	0.593333333333
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.25	0.93	0.84	0.21	0.99	0.76	0.47	0.94	0.04	0.09	0.79	0.83	0.595
REACTOME_SIGNALING_BY_BMP	0.69	0.20	0.84	0.86	0.63	0.76	0.83	0.40	0.81	0.00	0.64	0.49	0.595833333333
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.30	0.35	0.68	0.24	0.75	0.71	0.94	0.01	0.79	0.84	0.67	0.87	0.595833333333
PID_ERBB4_PATHWAY	0.91	0.31	0.28	0.61	0.92	0.38	0.67	0.67	0.52	0.17	0.87	0.85	0.596666666667
BIOCARTA_PTEN_PATHWAY	0.40	0.59	0.47	0.71	0.88	0.51	0.26	0.70	0.62	0.75	0.63	0.64	0.596666666667
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	0.11	0.92	0.86	0.22	0.63	0.34	0.67	0.64	0.57	0.79	0.42	0.99	0.596666666667
REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	0.68	1.00	0.72	1.00	0.22	0.99	0.85	1.00	0.03	0.00	0.52	0.16	0.5975
KEGG_PYRUVATE_METABOLISM	0.34	0.34	0.34	1.00	0.96	0.17	0.67	0.46	0.77	0.75	0.47	0.91	0.598333333333
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.86	0.43	0.36	0.96	0.52	0.24	1.00	0.32	0.71	0.81	0.51	0.46	0.598333333333
PID_BCR_5PATHWAY	0.28	0.25	0.77	0.95	0.90	0.20	0.81	0.66	0.62	0.32	0.51	0.92	0.599166666667
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	0.50	0.92	0.68	0.87	0.10	0.71	0.83	0.90	0.00	0.28	0.44	0.96	0.599166666667
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.99	0.81	0.43	0.38	0.37	0.18	0.81	0.38	0.06	0.90	0.90	0.98	0.599166666667
REACTOME_METABOLISM_OF_NON_CODING_RNA	0.78	0.45	0.29	1.00	0.60	0.88	0.97	1.00	0.22	0.03	0.93	0.05	0.6
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.88	0.66	0.21	0.48	0.97	0.79	0.81	0.03	0.75	0.90	0.70	0.02	0.6
PID_CMYB_PATHWAY	0.91	0.32	0.83	0.23	0.78	0.96	0.91	0.90	0.86	0.22	0.12	0.16	0.6
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.26	0.46	0.80	1.00	0.79	0.14	0.93	0.89	0.48	0.12	0.48	0.86	0.600833333333
KEGG_MELANOGENESIS	0.58	0.66	0.11	0.18	0.92	0.59	0.93	0.27	0.82	0.85	0.69	0.61	0.600833333333
ST_TYPE_I_INTERFERON_PATHWAY	0.78	0.83	0.55	0.94	0.92	0.76	0.46	0.70	0.22	0.77	0.13	0.15	0.600833333333
BIOCARTA_STATHMIN_PATHWAY	0.33	0.71	0.89	0.10	0.97	0.36	0.26	0.60	0.93	0.62	0.55	0.90	0.601666666667
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.52	0.94	0.02	0.59	0.62	0.58	0.81	0.05	0.70	0.70	0.88	0.82	0.6025
PID_MAPKTRKPATHWAY	0.74	0.97	0.28	0.38	0.59	0.35	0.67	0.89	0.49	0.19	0.88	0.80	0.6025
ST_G_ALPHA_I_PATHWAY	0.09	0.80	0.07	0.46	0.59	0.76	0.67	0.59	0.90	0.50	0.87	0.93	0.6025
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	0.58	0.60	0.61	0.20	0.71	0.67	0.21	0.88	0.87	0.79	0.68	0.44	0.603333333333
BIOCARTA_FCER1_PATHWAY	0.64	0.48	0.60	0.26	0.74	0.73	0.67	0.36	0.66	0.53	0.58	1.00	0.604166666667
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.51	1.00	0.29	0.22	0.92	0.47	0.92	0.60	0.70	0.46	0.40	0.76	0.604166666667
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.67	0.72	0.35	0.63	0.73	0.84	0.83	0.92	0.27	0.84	0.44	0.01	0.604166666667
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.61	0.85	0.63	0.21	0.74	0.89	0.67	0.95	0.67	0.40	0.59	0.05	0.605
PID_HIVNEFPATHWAY	0.94	0.82	0.22	0.61	0.79	0.34	0.67	0.68	0.66	0.15	0.59	0.79	0.605
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.88	0.03	0.88	0.39	0.10	0.58	1.00	0.86	0.52	0.73	0.83	0.47	0.605833333333
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	0.63	0.62	0.82	0.58	0.06	0.84	0.90	0.78	0.54	0.58	0.81	0.12	0.606666666667
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	0.88	0.99	0.21	0.80	0.27	0.95	0.94	0.65	1.00	0.58	0.00	0.03	0.608333333333
REACTOME_INSULIN_RECEPTOR_RECYCLING	0.35	0.87	0.99	0.34	0.97	0.60	0.47	0.93	0.05	0.09	0.79	0.85	0.608333333333
REACTOME_PI3K_CASCADE	0.31	0.44	0.40	0.87	0.28	0.77	0.97	0.69	0.73	0.85	0.83	0.16	0.608333333333
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.14	0.61	0.40	0.05	0.88	0.27	0.66	0.79	0.84	0.93	0.75	0.98	0.608333333333
KEGG_SMALL_CELL_LUNG_CANCER	0.42	0.28	0.93	0.99	0.71	0.48	0.91	0.02	0.43	0.63	0.57	0.93	0.608333333333
PID_SMAD2_3PATHWAY	0.29	0.77	0.62	1.00	0.93	0.71	0.38	0.70	0.63	0.23	0.41	0.63	0.608333333333
PID_FANCONI_PATHWAY	0.72	0.83	0.89	0.07	0.28	0.76	0.67	0.89	0.55	0.44	0.26	0.94	0.608333333333
REACTOME_ER_PHAGOSOME_PATHWAY	0.95	1.00	0.80	0.97	0.12	0.99	0.81	1.00	0.02	0.01	0.55	0.09	0.609166666667
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.89	0.89	0.46	0.18	1.00	0.03	0.93	0.66	0.23	0.54	0.69	0.81	0.609166666667
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	0.61	1.00	0.67	0.96	0.27	0.99	0.81	1.00	0.07	0.05	0.72	0.16	0.609166666667
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.25	0.34	0.82	0.53	0.93	0.56	0.88	0.89	0.90	0.30	0.43	0.49	0.61
REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP	0.35	0.90	0.69	0.34	0.95	0.90	0.46	0.95	0.88	0.01	0.31	0.58	0.61
PID_FCER1PATHWAY	0.27	0.66	0.72	0.33	0.09	0.77	0.81	0.62	0.68	0.68	0.70	1.00	0.610833333333
REACTOME_CA_DEPENDENT_EVENTS	0.98	0.20	0.76	0.26	0.37	0.38	0.67	0.64	0.90	1.00	0.18	0.99	0.610833333333
PID_BETACATENIN_NUC_PATHWAY	0.85	0.90	0.03	0.43	0.28	0.87	0.91	0.34	0.68	0.89	0.81	0.35	0.611666666667
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	0.83	0.48	0.76	0.63	0.88	0.82	0.38	0.29	0.96	0.19	0.37	0.76	0.6125
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	0.67	0.53	0.84	0.35	0.88	0.71	0.73	0.93	0.27	0.23	0.78	0.44	0.613333333333
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.77	0.88	0.71	0.78	0.04	0.31	0.67	0.91	0.27	0.56	0.47	1.00	0.614166666667
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.97	0.79	0.59	1.00	0.27	0.04	0.94	0.93	0.85	0.37	0.07	0.55	0.614166666667
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.20	0.61	0.59	0.85	0.64	0.75	0.33	0.82	0.88	0.93	0.20	0.57	0.614166666667
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.76	0.34	0.61	0.60	0.85	0.79	0.76	0.42	0.29	0.44	0.73	0.78	0.614166666667
REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	0.59	0.92	0.21	0.88	0.90	0.95	0.91	1.00	0.55	0.15	0.32	0.01	0.615833333333
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.38	0.92	0.81	0.38	1.00	0.32	0.81	1.00	0.47	0.17	0.50	0.64	0.616666666667
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.92	0.99	0.68	0.93	0.75	0.51	0.21	0.33	0.27	0.20	0.78	0.83	0.616666666667
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.23	0.57	0.91	0.45	0.87	0.21	0.91	0.50	1.00	0.30	0.66	0.81	0.618333333333
ST_INTERLEUKIN_13_PATHWAY	0.27	0.40	0.96	0.77	0.61	0.84	0.23	0.53	0.91	0.70	0.91	0.30	0.619166666667
REACTOME_IL1_SIGNALING	0.51	0.48	0.10	1.00	0.87	0.82	0.67	0.59	0.57	0.53	0.72	0.57	0.619166666667
ST_IL_13_PATHWAY	0.27	0.40	0.96	0.77	0.61	0.84	0.23	0.53	0.91	0.70	0.91	0.30	0.619166666667
PID_HIF1_TFPATHWAY	0.89	0.59	0.32	0.82	0.90	0.32	0.81	0.38	0.90	0.33	0.27	0.91	0.62
REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP	0.61	0.77	0.75	0.58	0.95	0.71	0.47	0.88	0.92	0.23	0.33	0.25	0.620833333333
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.53	0.49	0.93	0.15	0.63	0.67	0.93	0.15	0.69	0.64	0.67	0.97	0.620833333333
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	0.16	0.99	0.49	0.84	0.99	1.00	0.26	0.98	0.74	0.01	0.67	0.33	0.621666666667
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.81	0.98	0.98	0.23	0.53	0.00	0.91	0.30	0.54	0.60	0.89	0.70	0.6225
REACTOME_G1_PHASE	0.82	0.91	0.91	1.00	0.11	0.43	0.67	0.64	0.49	0.57	0.46	0.46	0.6225
REACTOME_METABOLISM_OF_POLYAMINES	0.14	0.36	0.53	0.20	0.93	0.95	0.83	0.72	0.90	0.75	0.18	0.98	0.6225
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	0.32	0.66	0.21	0.83	0.27	0.76	0.91	0.89	0.80	0.48	0.42	0.93	0.623333333333
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.90	0.99	0.29	0.83	0.24	0.98	0.94	0.67	1.00	0.58	0.00	0.09	0.625833333333
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.63	0.86	0.40	1.00	0.97	0.84	1.00	0.94	0.27	0.04	0.13	0.43	0.625833333333
BIOCARTA_IL1R_PATHWAY	0.36	0.32	0.09	1.00	0.92	0.29	0.67	0.62	0.90	0.86	0.77	0.71	0.625833333333
ST_INTEGRIN_SIGNALING_PATHWAY	0.33	0.49	0.25	0.30	0.67	0.50	0.91	0.92	0.74	0.81	0.59	1.00	0.625833333333
KEGG_VIBRIO_CHOLERAE_INFECTION	0.22	0.66	0.40	0.08	0.98	0.93	0.81	0.96	0.60	0.43	0.84	0.60	0.625833333333
BIOCARTA_PDGF_PATHWAY	0.97	0.33	0.80	0.12	0.97	0.61	0.67	0.71	0.56	0.44	0.33	1.00	0.625833333333
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	0.76	0.46	0.79	0.12	0.69	0.89	0.04	0.27	0.77	0.90	0.86	0.96	0.625833333333
KEGG_GLIOMA	0.73	0.17	0.81	0.33	0.63	0.42	0.81	0.19	0.94	0.79	0.70	1.00	0.626666666667
REACTOME_ETHANOL_OXIDATION	0.47	0.83	0.20	0.94	0.74	0.45	0.86	0.59	0.20	0.89	0.48	0.88	0.6275
KEGG_RIBOFLAVIN_METABOLISM	0.91	0.05	0.98	0.94	0.39	0.19	0.38	0.92	0.19	1.00	0.97	0.62	0.628333333333
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.90	0.95	0.71	0.25	0.75	0.10	0.67	0.87	0.99	0.35	0.49	0.52	0.629166666667
BIOCARTA_AT1R_PATHWAY	0.11	0.92	0.29	0.85	0.96	0.68	0.67	0.87	0.69	0.44	0.13	0.95	0.63
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.48	0.86	0.92	0.54	0.22	0.95	1.00	0.29	0.82	0.49	0.61	0.39	0.630833333333
REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	0.52	1.00	0.31	0.95	0.90	0.99	0.81	0.98	0.83	0.05	0.17	0.06	0.630833333333
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.45	0.47	0.48	0.99	0.88	0.26	0.58	0.93	0.72	1.00	0.43	0.38	0.630833333333
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	0.79	0.99	0.46	0.74	0.73	0.98	0.76	0.79	0.63	0.50	0.01	0.19	0.630833333333
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.25	0.61	0.68	0.93	0.71	1.00	0.21	0.65	0.96	0.79	0.44	0.36	0.6325
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.13	0.86	0.86	0.97	0.93	0.95	0.67	0.67	0.82	0.19	0.06	0.48	0.6325
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.72	1.00	0.72	1.00	0.67	0.86	1.00	1.00	0.06	0.00	0.11	0.49	0.635833333333
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.94	0.56	0.40	0.87	0.86	0.29	0.68	0.59	0.12	0.89	0.65	0.78	0.635833333333
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.50	0.84	0.85	0.03	0.82	0.62	0.79	0.37	0.90	0.36	0.93	0.64	0.6375
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.96	0.21	0.09	0.15	0.91	0.83	0.93	0.13	0.65	0.85	0.96	0.98	0.6375
KEGG_PROSTATE_CANCER	0.66	0.21	0.13	0.96	0.91	0.65	0.91	0.09	1.00	0.63	0.55	0.97	0.639166666667
REACTOME_PYRIMIDINE_METABOLISM	0.69	0.22	0.48	0.52	0.86	0.55	0.76	0.60	0.93	0.93	0.68	0.46	0.64
REACTOME_PYRUVATE_METABOLISM	0.73	0.22	0.94	0.93	0.88	0.26	0.78	0.17	0.68	0.69	0.76	0.64	0.64
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING	0.57	0.94	0.71	0.52	0.97	0.52	0.23	0.12	0.82	0.83	0.77	0.68	0.64
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.46	0.30	0.60	0.97	0.90	0.95	0.91	0.77	0.41	0.31	0.40	0.70	0.64
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	1.00	0.90	0.36	0.67	0.90	0.93	0.78	0.18	0.94	0.59	0.38	0.06	0.640833333333
REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT	0.97	0.93	0.10	1.00	1.00	0.95	0.67	1.00	0.69	0.03	0.34	0.01	0.640833333333
PID_GMCSF_PATHWAY	0.11	0.69	0.10	1.00	0.92	0.89	0.67	0.07	0.89	0.49	0.93	0.93	0.640833333333
PID_NCADHERINPATHWAY	0.74	1.00	0.91	0.04	0.30	0.70	0.67	0.77	0.61	0.53	0.48	0.95	0.641666666667
PID_IL1PATHWAY	0.78	0.82	0.04	1.00	0.87	0.66	0.67	0.76	0.74	0.20	0.57	0.59	0.641666666667
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.89	0.81	0.18	0.09	0.31	0.81	1.00	0.68	0.27	0.83	0.86	0.98	0.6425
BIOCARTA_CARDIACEGF_PATHWAY	0.92	0.61	0.94	0.20	0.47	0.72	0.21	0.76	0.97	0.52	0.80	0.60	0.643333333333
ST_G_ALPHA_S_PATHWAY	0.39	0.98	0.45	0.22	0.85	0.57	0.70	0.92	0.93	0.79	0.18	0.74	0.643333333333
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.79	0.48	0.33	0.80	0.89	0.83	0.98	0.66	0.63	0.41	0.59	0.34	0.644166666667
PID_INTEGRIN_A4B1_PATHWAY	0.75	0.83	0.95	0.12	0.92	0.51	0.67	0.37	1.00	0.81	0.34	0.46	0.644166666667
BIOCARTA_ATRBRCA_PATHWAY	0.66	0.61	0.91	0.80	0.31	0.38	0.70	0.57	0.07	0.92	0.94	0.87	0.645
REACTOME_BOTULINUM_NEUROTOXICITY	0.98	0.98	0.57	0.20	0.88	0.31	0.38	0.66	0.96	0.48	0.43	0.91	0.645
REACTOME_BASE_EXCISION_REPAIR	0.63	0.71	0.55	0.84	0.76	0.60	0.66	0.86	0.80	0.58	0.50	0.25	0.645
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	0.26	0.85	0.57	0.95	0.87	0.17	0.81	0.78	0.40	0.20	0.93	0.95	0.645
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	0.99	0.99	0.60	0.19	0.87	0.29	0.21	0.82	0.97	0.51	0.43	0.90	0.6475
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.30	0.55	0.71	1.00	0.86	0.34	0.67	0.75	0.84	0.53	0.34	0.88	0.6475
BIOCARTA_UCALPAIN_PATHWAY	0.45	0.89	0.90	0.39	0.83	0.49	0.53	0.65	0.56	0.63	0.72	0.73	0.6475
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.91	0.88	0.04	0.97	0.90	0.94	0.81	0.27	0.41	0.52	0.85	0.27	0.6475
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	0.53	0.80	0.89	0.96	0.80	0.02	1.00	0.27	0.86	0.49	0.34	0.82	0.648333333333
BIOCARTA_INTEGRIN_PATHWAY	0.15	0.96	0.95	0.04	0.96	0.35	0.77	0.92	0.78	0.75	0.61	0.54	0.648333333333
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	0.85	0.37	0.57	0.50	0.82	0.29	0.92	0.68	0.84	0.46	0.54	0.94	0.648333333333
PID_TXA2PATHWAY	0.89	0.76	0.71	0.13	0.31	0.55	0.81	0.25	0.83	0.95	0.61	0.98	0.648333333333
PID_PI3KPLCTRKPATHWAY	0.48	0.93	0.86	0.07	0.09	0.85	0.88	0.89	0.69	0.78	0.40	0.87	0.649166666667
KEGG_TYPE_II_DIABETES_MELLITUS	0.78	0.75	0.24	0.15	0.96	0.47	0.67	0.29	0.87	0.63	0.98	1.00	0.649166666667
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	0.51	0.76	0.96	0.36	0.09	0.34	0.67	0.77	0.90	0.97	0.95	0.51	0.649166666667
BIOCARTA_MET_PATHWAY	0.13	0.92	0.96	0.94	0.86	0.58	0.67	0.77	0.70	0.31	0.21	0.74	0.649166666667
PID_TCR_PATHWAY	0.36	0.94	0.71	0.48	0.77	0.25	0.81	0.82	0.99	0.59	0.39	0.69	0.65
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.67	0.69	0.79	0.67	0.48	0.62	0.74	0.65	0.72	0.86	0.49	0.42	0.65
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.69	0.03	0.95	0.72	0.75	0.86	0.79	0.49	0.73	0.76	0.49	0.56	0.651666666667
PID_KITPATHWAY	0.33	0.53	0.31	0.92	0.91	0.76	0.81	0.36	0.53	0.90	0.70	0.76	0.651666666667
KEGG_PEROXISOME	0.81	0.66	0.96	0.38	0.80	0.21	0.91	0.95	0.95	0.42	0.13	0.64	0.651666666667
PID_AVB3_OPN_PATHWAY	0.97	0.61	0.22	1.00	0.79	0.75	0.67	0.77	0.63	0.20	0.40	0.82	0.6525
BIOCARTA_CDMAC_PATHWAY	0.86	0.72	0.84	0.58	0.73	0.84	0.21	0.63	0.81	0.45	0.33	0.83	0.6525
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.25	0.64	0.82	0.10	0.73	0.71	0.26	0.70	0.93	0.82	0.90	0.98	0.653333333333
KEGG_PARKINSONS_DISEASE	0.90	0.96	0.46	0.85	0.64	0.80	1.00	1.00	0.21	0.09	0.17	0.76	0.653333333333
BIOCARTA_TNFR1_PATHWAY	0.86	0.82	0.24	0.18	0.37	0.89	0.67	0.96	0.32	0.91	0.63	1.00	0.654166666667
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.65	0.91	0.68	0.85	0.90	0.23	0.51	0.82	0.33	0.93	0.61	0.45	0.655833333333
ST_WNT_BETA_CATENIN_PATHWAY	1.00	0.47	0.10	0.54	0.85	0.70	0.88	0.93	0.81	0.49	0.58	0.52	0.655833333333
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	0.78	0.42	0.53	0.38	0.50	0.45	1.00	0.87	0.78	0.99	0.18	0.99	0.655833333333
KEGG_MAPK_SIGNALING_PATHWAY	0.49	0.78	0.67	0.33	0.88	0.07	1.00	0.43	0.73	0.81	0.96	0.72	0.655833333333
PID_ENDOTHELINPATHWAY	0.19	0.79	0.11	0.95	0.43	0.90	0.81	0.74	0.58	0.71	0.70	0.98	0.6575
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.61	0.40	0.76	0.90	0.24	0.83	0.83	0.12	0.90	0.50	0.90	0.90	0.6575
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.86	0.99	0.48	0.83	0.75	0.95	1.00	0.75	0.63	0.48	0.01	0.17	0.658333333333
REACTOME_P38MAPK_EVENTS	0.35	0.99	0.84	0.34	0.86	0.32	0.21	0.93	0.74	0.70	0.76	0.87	0.659166666667
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.20	0.79	0.87	0.94	0.53	0.99	0.47	0.45	0.88	0.64	0.70	0.45	0.659166666667
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	0.13	0.85	0.13	0.94	0.90	1.00	0.67	0.67	0.69	0.73	0.42	0.80	0.660833333333
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.55	0.34	0.91	0.80	0.55	0.46	0.75	0.21	0.91	0.95	0.90	0.60	0.660833333333
PID_IL3_PATHWAY	0.59	0.62	0.86	0.64	1.00	0.07	0.67	0.23	0.91	0.45	0.97	0.93	0.661666666667
BIOCARTA_BCR_PATHWAY	0.78	0.37	0.89	0.28	0.92	0.58	0.67	0.64	0.82	0.73	0.28	0.99	0.6625
REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION	0.32	0.99	0.84	1.00	1.00	0.97	0.94	1.00	0.55	0.08	0.27	0.00	0.663333333333
